Nom.officiel.du.satellite;Organisation.de.pays.du.registre.de.l'ONU;Opérateur.propriétaire;Pays.de.l'opérateur.propriétaire;Utilisateurs;Objectif;Date.de.lancement;fournisseur;Pays.du.fournisseur;Site.de.lancement;Véhicule.de.lancement
Cosmos 2501;Russia;Ministry of Defense;Russia;Military/Commercial;Navigation/Global Positioning;12/1/2014;ISS Reshetnev;Russia;Plesetsk Cosmodrome;Soyuz 2.1b
Cosmos 2419;Russia;Ministry of Defense;Russia;Military/Commercial;Navigation/Global Positioning;12/25/2005;ISS Reshetnev;Russia;Baikonur Cosmodrome;Proton K
Cosmos 2424;Russia;Ministry of Defense;Russia;Military/Commercial;Navigation/Global Positioning;12/25/2006;ISS Reshetnev;Russia;Baikonur Cosmodrome;Proton K
Cosmos 2425;Russia;Ministry of Defense;Russia;Military/Commercial;Navigation/Global Positioning;12/25/2006;ISS Reshetnev;Russia;Baikonur Cosmodrome;Proton K
Cosmos 2426;Russia;Ministry of Defense;Russia;Military/Commercial;Navigation/Global Positioning;12/25/2006;ISS Reshetnev;Russia;Baikonur Cosmodrome;Proton K
Cosmos 2432;Russia;Ministry of Defense;Russia;Military/Commercial;Navigation/Global Positioning;10/26/2007;ISS Reshetnev;Russia;Baikonur Cosmodrome;Proton K
Cosmos 2433;Russia;Ministry of Defense;Russia;Military/Commercial;Navigation/Global Positioning;10/26/2007;ISS Reshetnev;Russia;Baikonur Cosmodrome;Proton K
Cosmos 2434;Russia;Ministry of Defense;Russia;Military/Commercial;Navigation/Global Positioning;12/25/2007;ISS Reshetnev;Russia;Baikonur Cosmodrome;Proton M
Cosmos 2436;Russia;Ministry of Defense;Russia;Military/Commercial;Navigation/Global Positioning;12/25/2007;ISS Reshetnev;Russia;Baikonur Cosmodrome;Proton M
Cosmos 2443;Russia;Ministry of Defense;Russia;Military/Commercial;Navigation/Global Positioning;9/25/2008;ISS Reshetnev;Russia;Baikonur Cosmodrome;Proton M
Cosmos 2456;Russia;Ministry of Defense;Russia;Military/Commercial;Navigation/Global Positioning;12/14/2009;ISS Reshetnev;Russia;Baikonur Cosmodrome;Proton M
Cosmos 2459;Russia;Ministry of Defense;Russia;Military/Commercial;Navigation/Global Positioning;3/1/2010;ISS Reshetnev;Russia;Baikonur Cosmodrome;Proton M
Cosmos 2460;Russia;Ministry of Defense;Russia;Military/Commercial;Navigation/Global Positioning;3/1/2010;ISS Reshetnev;Russia;Baikonur Cosmodrome;Proton M
Cosmos 2457;Russia;Ministry of Defense;Russia;Military/Commercial;Navigation/Global Positioning;12/14/2009;ISS Reshetnev;Russia;Baikonur Cosmodrome;Proton M
Cosmos 2458;Russia;Ministry of Defense;Russia;Military/Commercial;Navigation/Global Positioning;12/14/2009;ISS Reshetnev;Russia;Baikonur Cosmodrome;Proton M
Cosmos 2461;Russia;Ministry of Defense;Russia;Military/Commercial;Navigation/Global Positioning;3/1/2010;ISS Reshetnev;Russia;Baikonur Cosmodrome;Proton M
Cosmos 2464;Russia;Ministry of Defense;Russia;Military/Commercial;Navigation/Global Positioning;9/2/2010;ISS Reshetnev;Russia;Baikonur Cosmodrome;Proton M
Cosmos 2465;Russia;Ministry of Defense;Russia;Military/Commercial;Navigation/Global Positioning;9/2/2010;ISS Reshetnev;Russia;Baikonur Cosmodrome;Proton M
Cosmos 2466;Russia;Ministry of Defense;Russia;Military/Commercial;Navigation/Global Positioning;9/2/2010;ISS Reshetnev;Russia;Baikonur Cosmodrome;Proton M
Cosmos 2474;Russia;Ministry of Defense;Russia;Military/Commercial;Navigation/Global Positioning;10/2/2011;ISS Reshetnev;Russia;Plesetsk Cosmodrome;Soyuz 2
Cosmos 2476;Russia;Ministry of Defense;Russia;Military/Commercial;Navigation/Global Positioning;11/4/2011;ISS Reshetnev;Russia;Baikonur Cosmodrome;Proton M
Cosmos 2477;Russia;Ministry of Defense;Russia;Military/Commercial;Navigation/Global Positioning;11/4/2011;ISS Reshetnev;Russia;Baikonur Cosmodrome;Proton M
Cosmos 2475;Russia;Ministry of Defense;Russia;Military/Commercial;Navigation/Global Positioning;11/4/2011;ISS Reshetnev;Russia;Baikonur Cosmodrome;Proton M
Cosmos 2478;Russia;Ministry of Defense;Russia;Military/Commercial;Navigation/Global Positioning;11/27/2011;ISS Reshetnev;Russia;Plesetsk Cosmodrome;Soyuz 2
Cosmos 2485;Russia;Ministry of Defense;Russia;Military/Commercial;Navigation/Global Positioning;4/26/2013;ISS Reshetnev;Russia;Plesetsk Cosmodrome;Soyuz 2
Cosmos 2514;NR;Ministry of Defense;Russia;Military/Commercial;Navigation/Global Positioning;2/7/2016;ISS Reshetnev;Russia;Plesetsk Cosmodrome;Soyuz 2.1b
Cosmos 2516;NR;Ministry of Defense;Russia;Military/Commercial;Navigation/Global Positioning;5/29/2016;ISS Reshetnev;Russia;Plesetsk Cosmodrome;Soyuz 2.1b
Cosmos 2491;Russia;Ministry of Defense;Russia;Military/Commercial;Navigation/Global Positioning;3/23/2014;ISS Reshetnev;Russia;Plesetsk Cosmodrome;Soyuz 2.1b
Cosmos 2500;Russia;Ministry of Defense;Russia;Military/Commercial;Navigation/Global Positioning;6/14/2014;ISS Reshetnev;Russia;Plesetsk Cosmodrome;Soyuz 2.1b
GOES-13;USA;NOAA (National Oceanographic and Atmospheric Administration);USA;Government;Earth Observation;5/24/2006;Boeing Satellite Systems;USA;Cape Canaveral;Delta 4
GOES-14;USA;NOAA (National Oceanographic and Atmospheric Administration);USA;Government;Earth Observation;6/27/2009;Boeing Satellite Systems;USA;Cape Canaveral;Delta 4
GOES-15;USA;NOAA (National Oceanographic and Atmospheric Administration);USA;Government;Earth Observation;3/4/2010;Boeing Satellite Systems;USA;Cape Canaveral;Delta 4
GOES-3;USA;University of Miami, Rosenstiel School of Marine and Atmospheric Science (RSMAS) (loaned by NOAA);USA;Civil;Communications;6/16/1978;Ford Aerospace;USA;Cape Canaveral;Delta 2914
GÃ¶ktÃ¼rk 2;NR;Turkish Ministry of National Defense;Turkey;Military;Earth Observation;12/18/2012;TÃœBÄ°TAK Space Technologies Research Institute/Turkish Aerospace Industries;Turkey;Jiuquan Satellite Launch Center;Long March 2D
